Transaction_ID,Description,Amount,Category,Payment_Method,City,datetime,clean_desc,llm_category,anomaly,anomaly_label
TXN_00001,APOLLO HOSP,2065.76,Healthcare,UPI,Hyderabad,19-02-2024 18:35,apollo hosp,Healthcare,FALSE,Normal
TXN_00002,NETMEDS APP,2994.81,Healthcare,Wallet,Ahmedabad,15-07-2024 19:34,netmeds app,Healthcare,FALSE,Normal
TXN_00003,JIO RECHARGE 8369,1230.62,Utilities,Wallet,Hyderabad,30-10-2024 21:34,jio recharge ,Bills,FALSE,Normal
TXN_00004,WATER DEPT 4032,548.72,Utilities,Credit Card,Kolkata,07-06-2024 08:38,water dept ,Bills,FALSE,Normal
TXN_00005,ONLINE COURSE,7788.2,Education,UPI,Bangalore,07-04-2024 07:37,online course,Education,FALSE,Normal
TXN_00006,TUITION FEES 2321,5823.63,Education,Debit Card,Ahmedabad,11-09-2024 08:44,tuition fees ,Education,FALSE,Normal
TXN_00007,ZOMATO APP 6328,326.71,Food & Beverage,Debit Card,Lucknow,13-09-2024 16:50,zomato app ,Food & Beverage,FALSE,Normal
TXN_00008,SUBWAY MRT STN 4981,431.83,Food & Beverage,Wallet,Kolkata,15-02-2024 23:15,subway mrt stn ,Food & Beverage,FALSE,Normal
TXN_00009,ELECTRICITY BOARD,831.17,Utilities,Debit Card,Mumbai,19-05-2024 09:41,electricity board,Bills,FALSE,Normal
TXN_00010,ADOBE CLOUD,388.15,Subscriptions,Debit Card,Bangalore,06-05-2024 18:37,adobe cloud,Subscriptions,FALSE,Normal
TXN_00011,SWIGGY DELIVERY 4570,152.78,Food & Beverage,Net Banking,Delhi,24-02-2024 15:12,swiggy delivery ,Food & Beverage,FALSE,Normal
TXN_00012,AJIO FASHION 5615 XYZ574,2767.75,Shopping,Debit Card,Delhi,11-06-2024 17:35,ajio fashion  xyz,Shopping,FALSE,Normal
TXN_00013,INSURANCE PREMIUM 1283,3765.63,Financial,Wallet,Bangalore,28-10-2024 20:13,insurance premium ,Bills,FALSE,Normal
